trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.6, 'e': 0.9175942312201509}",25,0,-189.88614380242794,"{0: 11, 1: 1, 2: 11, 3: 0, 4: 2}",0
43,False,"{'a': 0.6, 'e': 0.9157608767233256}",25,0,-117.2640826517834,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
44,False,"{'a': 0.6, 'e': 0.9139311852712282}",20,0,-49.46921441157187,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.6, 'e': 0.9121051495450904}",20,0,-84.50683356621359,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.6, 'e': 0.910282762240767}",25,0,-162.3560147607343,"{0: 14, 1: 4, 2: 2, 3: 3, 4: 2}",0
47,False,"{'a': 0.6, 'e': 0.9084640160687062}",20,0,-63.291964485187016,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.6, 'e': 0.9066489037539209}",30,0,-200.42308059705604,"{0: 14, 1: 4, 2: 7, 3: 4, 4: 1}",0
49,False,"{'a': 0.6, 'e': 0.9048374180359595}",25,0,-198.33407035502498,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
50,False,"{'a': 0.6, 'e': 0.9030295516688768}",20,0,-154.08566177551123,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
51,False,"{'a': 0.6, 'e': 0.9012252974212047}",20,0,-50.864858322534744,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
52,False,"{'a': 0.6, 'e': 0.899424648075924}",25,0,-123.9905738580478,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
53,False,"{'a': 0.6, 'e': 0.8976275964304349}",20,0,-159.27421116136486,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
54,False,"{'a': 0.6, 'e': 0.8958341352965282}",30,0,-175.0641496487807,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
55,False,"{'a': 0.6, 'e': 0.8940442575003572}",25,0,-74.22659719747156,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
56,False,"{'a': 0.6, 'e': 0.8922579558824083}",30,0,-220.2389560933597,"{0: 12, 1: 5, 2: 7, 3: 5, 4: 1}",0
57,False,"{'a': 0.6, 'e': 0.8904752232974726}",20,0,-72.32563869122286,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
58,False,"{'a': 0.6, 'e': 0.8886960526146174}",20,0,-83.4062006486677,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.6, 'e': 0.8869204367171575}",20,0,-14.888130338965809,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
