trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
182,False,"{'a': 0.6, 'e': 0.6935028012097558}",25,8,-100.60405633625363,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 2}",1
183,False,"{'a': 0.6, 'e': 0.6921171816887304}",20,5,-63.43392529105496,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 1}",1
184,False,"{'a': 0.6, 'e': 0.6907343306373547}",20,0,-146.4149690759698,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
185,False,"{'a': 0.6, 'e': 0.6893542425242224}",20,0,-12.211612839738308,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
186,False,"{'a': 0.6, 'e': 0.6879769118289795}",20,0,-29.2192131231263,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
187,False,"{'a': 0.6, 'e': 0.686602333042301}",20,10,7.22213590616102,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.6, 'e': 0.6852305006658703}",20,8,8.746976509106835,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.6, 'e': 0.6838614092123558}",25,7,-20.469660249337053,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
190,False,"{'a': 0.6, 'e': 0.6824950532053901}",25,0,-24.082314426036547,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
191,False,"{'a': 0.6, 'e': 0.6811314271795471}",20,0,-53.30500264359158,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
192,False,"{'a': 0.6, 'e': 0.679770525680321}",20,0,-30.10584117313287,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
193,False,"{'a': 0.6, 'e': 0.678412343264104}",20,13,-16.12939713449875,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
194,False,"{'a': 0.6, 'e': 0.6770568744981647}",30,10,-58.83112194284628,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
195,False,"{'a': 0.6, 'e': 0.675704113960626}",30,0,-183.19935197941192,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
196,False,"{'a': 0.6, 'e': 0.6743540562404442}",20,14,-3.6904479052733756,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.6, 'e': 0.6730066959373864}",20,0,-85.04974015443017,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
198,False,"{'a': 0.6, 'e': 0.6716620276620098}",30,19,-74.97459238635544,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
199,False,"{'a': 0.6, 'e': 0.6703200460356393}",20,8,-0.1707462245342075,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
200,False,"{'a': 0.6, 'e': 0.6689807456903467}",25,0,-34.474111158737564,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
201,False,"{'a': 0.6, 'e': 0.6676441212689289}",25,8,-69.14911144172534,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
202,False,"{'a': 0.6, 'e': 0.6663101674248864}",25,0,-19.313721060838695,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
203,False,"{'a': 0.6, 'e': 0.6649788788224019}",25,0,-116.5872276319882,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
204,False,"{'a': 0.6, 'e': 0.6636502501363194}",20,12,-38.55712499527869,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
205,False,"{'a': 0.6, 'e': 0.6623242760521222}",30,0,-38.19661604308952,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
206,False,"{'a': 0.6, 'e': 0.6610009512659124}",30,6,-27.012547298820454,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
207,False,"{'a': 0.6, 'e': 0.659680270484389}",25,4,-57.29835030838222,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 1}",1
208,False,"{'a': 0.6, 'e': 0.6583622284248272}",20,0,-77.50484003083149,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
209,False,"{'a': 0.6, 'e': 0.6570468198150567}",25,0,-23.31828251823275,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
210,False,"{'a': 0.6, 'e': 0.6557340393934418}",25,0,-44.0595601016616,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
211,False,"{'a': 0.6, 'e': 0.6544238819088586}",20,0,1.2416936907047804,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
212,False,"{'a': 0.6, 'e': 0.6531163421206756}",30,0,-55.43911438413547,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
213,False,"{'a': 0.6, 'e': 0.651811414798732}",35,25,6.4173108944731,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.6, 'e': 0.6505090947233165}",20,2,-110.36855290187196,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 2}",1
215,False,"{'a': 0.6, 'e': 0.6492093766851474}",20,11,-26.02623178546832,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
216,False,"{'a': 0.6, 'e': 0.6479122554853506}",25,0,-104.73779558775792,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
217,False,"{'a': 0.6, 'e': 0.6466177259354396}",20,0,-17.940754508516786,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
218,False,"{'a': 0.6, 'e': 0.6453257828572946}",20,0,-90.79693482572695,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
219,False,"{'a': 0.6, 'e': 0.6440364210831414}",25,0,-110.19887359881264,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
220,False,"{'a': 0.6, 'e': 0.6427496354555312}",30,10,-52.440608965639925,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
221,False,"{'a': 0.6, 'e': 0.6414654208273198}",35,7,-26.919682610604994,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 0}",1
222,False,"{'a': 0.6, 'e': 0.6401837720616471}",25,0,-81.10511678136282,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
223,False,"{'a': 0.6, 'e': 0.6389046840319162}",30,0,-80.74211442330649,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
224,False,"{'a': 0.6, 'e': 0.6376281516217733}",20,0,-24.182646834120494,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
225,False,"{'a': 0.6, 'e': 0.6363541697250871}",25,0,-39.304581804671926,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
226,False,"{'a': 0.6, 'e': 0.6350827332459281}",25,9,-18.048251978405865,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
227,False,"{'a': 0.6, 'e': 0.633813837098549}",25,0,-6.347400149872975,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
228,False,"{'a': 0.6, 'e': 0.6325474762073634}",25,16,10.5462939149718,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.6, 'e': 0.631283645506926}",20,6,-59.57655900482758,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
230,False,"{'a': 0.6, 'e': 0.6300223399419123}",25,14,-31.491106160089874,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
231,False,"{'a': 0.6, 'e': 0.6287635544670984}",25,0,-16.55832296091342,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
232,False,"{'a': 0.6, 'e': 0.6275072840473407}",30,0,-126.42377311880183,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
233,False,"{'a': 0.6, 'e': 0.6262535236575559}",35,0,-76.21778842318244,"{0: 27, 1: 3, 2: 2, 3: 2, 4: 1}",1
234,False,"{'a': 0.6, 'e': 0.6250022682827008}",25,8,-72.70744819441546,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
235,False,"{'a': 0.6, 'e': 0.623753512917752}",25,0,-61.070511663127874,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
236,False,"{'a': 0.6, 'e': 0.6225072525676867}",25,15,-8.956041679968934,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
237,False,"{'a': 0.6, 'e': 0.6212634822474616}",30,0,-37.58617751181411,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
238,False,"{'a': 0.6, 'e': 0.6200221969819939}",20,4,9.192680472741177,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.6, 'e': 0.6187833918061408}",20,0,-56.248847746497596,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
240,False,"{'a': 0.6, 'e': 0.61754706176468}",20,0,6.77370511888005,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
241,False,"{'a': 0.6, 'e': 0.6163132019122897}",30,1,-142.81943269531106,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 3}",1
242,False,"{'a': 0.6, 'e': 0.6150818073135287}",30,0,-35.91809178997646,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
243,False,"{'a': 0.6, 'e': 0.6138528730428171}",20,0,-77.43778477281124,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
244,False,"{'a': 0.6, 'e': 0.6126263941844161}",20,0,-145.4049503753956,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
245,False,"{'a': 0.6, 'e': 0.6114023658324087}",25,2,-16.82660706877576,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 0}",1
246,False,"{'a': 0.6, 'e': 0.6101807830906798}",30,9,-12.115157295318866,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
247,False,"{'a': 0.6, 'e': 0.6089616410728969}",20,12,-12.004818431278858,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
248,False,"{'a': 0.6, 'e': 0.6077449349024902}",25,0,-168.85165060791115,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
249,False,"{'a': 0.6, 'e': 0.6065306597126334}",25,0,-160.1003714716004,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
250,False,"{'a': 0.6, 'e': 0.6053188106462243}",35,11,-91.8002393082558,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 1}",1
251,False,"{'a': 0.6, 'e': 0.6041093828558647}",35,0,-42.61527315445328,"{0: 29, 1: 2, 2: 3, 3: 0, 4: 1}",0
252,False,"{'a': 0.6, 'e': 0.6029023715038421}",25,0,-26.890717939765853,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
253,False,"{'a': 0.6, 'e': 0.6016977717621094}",30,0,-79.70285176222914,"{0: 19, 1: 6, 2: 3, 3: 2, 4: 0}",0
254,False,"{'a': 0.6, 'e': 0.6004955788122659}",25,0,-63.10625814798784,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
255,False,"{'a': 0.6, 'e': 0.5992957878455384}",20,0,-60.02915036047375,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
256,False,"{'a': 0.6, 'e': 0.5980983940627613}",25,0,-78.84327597813882,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
257,False,"{'a': 0.6, 'e': 0.596903392674358}",30,0,-85.1497121400119,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
258,False,"{'a': 0.6, 'e': 0.5957107789003212}",20,0,-71.38633499867484,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
259,False,"{'a': 0.6, 'e': 0.5945205479701944}",25,0,-23.60146885699953,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
260,False,"{'a': 0.6, 'e': 0.593332695123052}",25,0,-118.10336365726107,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
261,False,"{'a': 0.6, 'e': 0.5921472156074813}",25,3,-15.354160326112101,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
262,False,"{'a': 0.6, 'e': 0.5909641046815626}",20,8,-9.897891451154454,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
263,False,"{'a': 0.6, 'e': 0.5897833576128504}",30,0,-55.216975517662746,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
264,False,"{'a': 0.6, 'e': 0.5886049696783552}",20,0,-26.459023923712323,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
265,False,"{'a': 0.6, 'e': 0.5874289361645234}",35,17,-46.99665175235908,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
266,False,"{'a': 0.6, 'e': 0.5862552523672196}",20,1,-39.913671841155164,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
267,False,"{'a': 0.6, 'e': 0.5850839135917069}",20,12,4.303979271574782,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
268,False,"{'a': 0.6, 'e': 0.5839149151526287}",20,0,-20.41167051152791,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
269,False,"{'a': 0.6, 'e': 0.5827482523739896}",20,8,-32.41386204735437,"{0: 9, 1: 1, 2: 0, 3: 2, 4: 0}",1
270,False,"{'a': 0.6, 'e': 0.5815839205891371}",20,0,-62.27282079563762,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
271,False,"{'a': 0.6, 'e': 0.5804219151407424}",25,2,-100.08180635676214,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 2}",1
272,False,"{'a': 0.6, 'e': 0.579262231380782}",30,0,-48.93236062914831,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
273,False,"{'a': 0.6, 'e': 0.5781048646705196}",20,0,-56.57405725945341,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
274,False,"{'a': 0.6, 'e': 0.5769498103804866}",25,0,-88.95333152329542,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
275,False,"{'a': 0.6, 'e': 0.5757970638904645}",25,17,12.454637179969241,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.6, 'e': 0.5746466205894657}",20,6,-110.76137721927542,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 2}",1
277,False,"{'a': 0.6, 'e': 0.5734984758757153}",20,7,-31.003471676402658,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
278,False,"{'a': 0.6, 'e': 0.5723526251566332}",25,0,-94.12417993224369,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
279,False,"{'a': 0.6, 'e': 0.5712090638488149}",30,12,-82.97541819834068,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 2}",1
280,False,"{'a': 0.6, 'e': 0.5700677873780134}",25,0,-78.72966347338959,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
281,False,"{'a': 0.6, 'e': 0.5689287911791218}",20,0,-36.6345231953278,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
282,False,"{'a': 0.6, 'e': 0.5677920706961532}",35,0,-121.06837922924792,"{0: 25, 1: 0, 2: 7, 3: 2, 4: 1}",0
283,False,"{'a': 0.6, 'e': 0.5666576213822246}",30,0,-212.97779432272446,"{0: 17, 1: 2, 2: 5, 3: 3, 4: 3}",0
284,False,"{'a': 0.6, 'e': 0.5655254386995371}",20,14,12.673808734023497,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.6, 'e': 0.5643955181193583}",20,2,-4.303215038293701,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
286,False,"{'a': 0.6, 'e': 0.5632678551220046}",20,0,-27.228279895243997,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
287,False,"{'a': 0.6, 'e': 0.5621424451968224}",25,0,-117.37877280725304,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
288,False,"{'a': 0.6, 'e': 0.5610192838421706}",20,0,-103.66539092686104,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
289,False,"{'a': 0.6, 'e': 0.559898366565402}",25,5,13.431708022235837,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.6, 'e': 0.5587796888828463}",20,0,-94.36826721490922,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
291,False,"{'a': 0.6, 'e': 0.5576632463197913}",35,0,-94.46897924933214,"{0: 27, 1: 2, 2: 3, 3: 2, 4: 1}",0
292,False,"{'a': 0.6, 'e': 0.5565490344104649}",20,5,-11.81772093956308,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
293,False,"{'a': 0.6, 'e': 0.5554370486980182}",25,0,15.9982004510498,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
294,False,"{'a': 0.6, 'e': 0.5543272847345071}",25,0,-85.64143845432311,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
295,False,"{'a': 0.6, 'e': 0.5532197380808739}",25,8,10.541963747748643,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
296,False,"{'a': 0.6, 'e': 0.5521144043069306}",20,0,-35.67795455798338,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
297,False,"{'a': 0.6, 'e': 0.5510112789913407}",20,0,-9.726984304997261,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
298,False,"{'a': 0.6, 'e': 0.5499103577216016}",20,0,-98.23034226619102,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
299,False,"{'a': 0.6, 'e': 0.5488116360940265}",20,0,-50.49102840382861,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
300,False,"{'a': 0.6, 'e': 0.5477151097137275}",25,17,15.058143271153146,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.6, 'e': 0.5466207741945976}",20,0,-7.395388531261615,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
302,False,"{'a': 0.6, 'e': 0.5455286251592933}",25,0,-126.71465869157822,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
303,False,"{'a': 0.6, 'e': 0.5444386582392171}",30,0,-16.86513972602663,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",1
304,False,"{'a': 0.6, 'e': 0.5433508690744998}",25,12,-14.398482825175535,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
305,False,"{'a': 0.6, 'e': 0.5422652533139832}",25,7,-6.181136606086708,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
306,False,"{'a': 0.6, 'e': 0.5411818066152029}",25,0,-20.43351115742792,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
307,False,"{'a': 0.6, 'e': 0.5401005246443706}",25,8,-3.043464494471434,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
308,False,"{'a': 0.6, 'e': 0.539021403076357}",30,2,-0.34755221246695145,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 0}",1
309,False,"{'a': 0.6, 'e': 0.5379444375946745}",20,7,-18.26433496791435,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
310,False,"{'a': 0.6, 'e': 0.5368696238914595}",25,6,-20.081446179859515,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
311,False,"{'a': 0.6, 'e': 0.535796957667456}",30,0,-64.51211571398619,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
312,False,"{'a': 0.6, 'e': 0.5347264346319975}",25,0,-72.2211124518211,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
313,False,"{'a': 0.6, 'e': 0.5336580505029906}",35,20,7.136368487247937,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
314,False,"{'a': 0.6, 'e': 0.5325918010068972}",25,18,-28.982080828377885,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
315,False,"{'a': 0.6, 'e': 0.5315276818787179}",20,0,7.434942515463873,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
316,False,"{'a': 0.6, 'e': 0.5304656888619749}",20,0,-58.90763966335505,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
317,False,"{'a': 0.6, 'e': 0.5294058177086945}",25,0,-69.42272862866174,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
318,False,"{'a': 0.6, 'e': 0.528348064179391}",25,0,-59.83598200451351,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
319,False,"{'a': 0.6, 'e': 0.5272924240430485}",20,0,11.7379379938743,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
320,False,"{'a': 0.6, 'e': 0.5262388930771054}",20,13,13.957338738809847,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.6, 'e': 0.5251874670674361}",25,0,-120.78041140232692,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
322,False,"{'a': 0.6, 'e': 0.5241381418083354}",20,0,-19.310466170951088,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
323,False,"{'a': 0.6, 'e': 0.5230909131025008}",20,12,-36.91077467910583,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
324,False,"{'a': 0.6, 'e': 0.522045776761016}",20,0,-57.22578669764237,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
325,False,"{'a': 0.6, 'e': 0.5210027286033344}",20,0,-45.8854383177642,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
326,False,"{'a': 0.6, 'e': 0.5199617644572618}",25,2,-70.88059149996091,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 1}",1
327,False,"{'a': 0.6, 'e': 0.5189228801589404}",20,16,8.983005822685495,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.6, 'e': 0.5178860715528314}",20,2,10.508144020774708,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
329,False,"{'a': 0.6, 'e': 0.5168513344916992}",20,0,-10.864506081766425,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
330,False,"{'a': 0.6, 'e': 0.5158186648365941}",25,5,-99.76696788656756,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",1
331,False,"{'a': 0.6, 'e': 0.5147880584568362}",20,0,-24.543767941050568,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
332,False,"{'a': 0.6, 'e': 0.5137595112299983}",25,4,-55.871836367673865,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
333,False,"{'a': 0.6, 'e': 0.5127330190418905}",25,8,-0.7234787873164539,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
334,False,"{'a': 0.6, 'e': 0.5117085777865424}",20,0,-22.10688507036916,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
335,False,"{'a': 0.6, 'e': 0.5106861833661879}",20,12,-7.9679475842338885,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
336,False,"{'a': 0.6, 'e': 0.5096658316912476}",30,13,-24.481399703287124,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
337,False,"{'a': 0.6, 'e': 0.5086475186803137}",20,5,-30.401034645017,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
338,False,"{'a': 0.6, 'e': 0.5076312402601327}",20,15,0.9245704094701035,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.6, 'e': 0.5066169923655895}",25,0,-133.847420587918,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
340,False,"{'a': 0.6, 'e': 0.5056047709396915}",25,6,-46.2443418573706,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 0}",1
341,False,"{'a': 0.6, 'e': 0.5045945719335512}",20,0,-0.7429638936529863,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
342,False,"{'a': 0.6, 'e': 0.5035863913063714}",20,0,-42.84100115822945,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
343,False,"{'a': 0.6, 'e': 0.5025802250254283}",20,13,9.551387504084492,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.6, 'e': 0.5015760690660555}",25,9,-93.57803502715274,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
345,False,"{'a': 0.6, 'e': 0.5005739194116277}",25,8,1.706719959158281,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
346,False,"{'a': 0.6, 'e': 0.4995737720535449}",30,10,1.3173461640276003,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
347,False,"{'a': 0.6, 'e': 0.4985756229912165}",20,0,-37.58623485638599,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
348,False,"{'a': 0.6, 'e': 0.4975794682320448}",20,0,0.026257731519077954,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
349,False,"{'a': 0.6, 'e': 0.49658530379140947}",25,10,-47.323106757457616,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
350,False,"{'a': 0.6, 'e': 0.4955931256926514}",25,10,-8.33954149362788,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
351,False,"{'a': 0.6, 'e': 0.494602929967057}",20,0,-16.78829977622326,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
352,False,"{'a': 0.6, 'e': 0.4936147126538418}",20,7,-0.32419631223949286,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
353,False,"{'a': 0.6, 'e': 0.49262846980013547}",25,15,7.699457377267271,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
354,False,"{'a': 0.6, 'e': 0.4916441974609651}",20,12,5.317638855065298,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.6, 'e': 0.4906618916992401}",20,11,-32.45475803958281,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
356,False,"{'a': 0.6, 'e': 0.4896815485857362}",25,0,-2.9021781853186077,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
357,False,"{'a': 0.6, 'e': 0.4887031641990795}",25,0,-91.98640096184918,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
358,False,"{'a': 0.6, 'e': 0.4877267346257312}",25,0,-48.762081932099136,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
359,False,"{'a': 0.6, 'e': 0.4867522559599717}",20,0,-21.11927649288298,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
360,False,"{'a': 0.6, 'e': 0.485779724303885}",25,0,-48.45537275144825,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
361,False,"{'a': 0.6, 'e': 0.48480913576734325}",30,0,20.350367114846613,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
362,False,"{'a': 0.6, 'e': 0.483840486467991}",20,0,-46.62267306667464,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
363,False,"{'a': 0.6, 'e': 0.48287377253122976}",25,0,-96.43138694434158,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
364,False,"{'a': 0.6, 'e': 0.48190899009020244}",20,6,-7.266549186125184,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
365,False,"{'a': 0.6, 'e': 0.480946135285778}",25,2,-143.06564233849178,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 2}",1
